capture_date,slot,scheduled_local_time,captured_at,window_start,window_end,aggregation,gfs_mm,ecmwf_mm,cma_mm,status
2026-09-18,vrain_evening,18:45,2026-09-18T18:51:46+07:00,2026-09-18T19:00+07:00,2026-09-19T19:00+07:00,rolling_24h,4.20,10.30,3.50,ok
2026-09-19,midnight_daily,00:00,2026-09-19T00:03:32+07:00,2026-09-19T00:00+07:00,2026-09-20T00:00+07:00,direct_daily,3.50,17.70,4.60,ok
2026-09-19,school_noon,11:45,2026-09-19T11:52:02+07:00,2026-09-19T12:00+07:00,2026-09-20T12:00+07:00,rolling_24h,3.30,14.30,0.00,ok
2026-09-19,vrain_evening,18:45,2026-09-19T18:51:48+07:00,2026-09-19T19:00+07:00,2026-09-20T19:00+07:00,rolling_24h,5.30,19.10,0.50,ok
2026-09-20,midnight_daily,00:00,2026-09-20T00:03:06+07:00,2026-09-20T00:00+07:00,2026-09-21T00:00+07:00,direct_daily,12.80,12.00,0.50,ok
2026-09-20,school_noon,11:45,2026-09-20T11:53:05+07:00,2026-09-20T12:00+07:00,2026-09-21T12:00+07:00,rolling_24h,11.20,24.70,24.20,ok
2026-09-20,vrain_evening,18:45,2026-09-20T18:51:48+07:00,2026-09-20T19:00+07:00,2026-09-21T19:00+07:00,rolling_24h,3.90,29.30,49.03,ok
2026-09-21,midnight_daily,00:00,2026-09-21T00:02:55+07:00,2026-09-21T00:00+07:00,2026-09-22T00:00+07:00,direct_daily,2.50,18.10,48.50,ok
2026-09-21,school_noon,11:45,2026-09-21T11:54:50+07:00,2026-09-21T12:00+07:00,2026-09-22T12:00+07:00,rolling_24h,6.90,7.60,18.70,ok
2026-09-21,vrain_evening,18:45,2026-09-21T18:53:24+07:00,2026-09-21T19:00+07:00,2026-09-22T19:00+07:00,rolling_24h,7.20,9.50,12.87,ok
2026-09-22,midnight_daily,00:00,2026-09-22T00:03:03+07:00,2026-09-22T00:00+07:00,2026-09-23T00:00+07:00,direct_daily,8.70,8.90,28.20,ok
2026-09-22,school_noon,11:45,2026-09-22T11:53:32+07:00,2026-09-22T12:00+07:00,2026-09-23T12:00+07:00,rolling_24h,7.40,14.30,22.20,ok
2026-09-22,vrain_evening,18:45,2026-09-22T18:52:29+07:00,2026-09-22T19:00+07:00,2026-09-23T19:00+07:00,rolling_24h,9.90,13.50,7.70,ok
2026-09-23,midnight_daily,00:00,2026-09-23T00:03:10+07:00,2026-09-23T00:00+07:00,2026-09-24T00:00+07:00,direct_daily,7.60,11.10,25.60,ok
